1993-12-27, SYR,12.0
1993-12-27, BET,0.0
1993-12-27, PFN,1.0
1993-12-27, HPN,9.0
1993-12-27, BTM,0.5
1993-12-27, AVP,5.0
1993-12-27, FWA,3.0
1993-12-27, RDU,69.5
1993-12-27, CRP,3.0
1993-12-27, MSP,128.0
1993-12-27, KTN,5.5
1993-12-27, MFR,2.5
1993-12-27, SJC,38.0
1993-12-27, GSO,42.0
1993-12-27, OKC,20.0
1993-12-27, GNV,3.0
1993-12-27, CID,4.5
1993-12-27, BGM,2.5
1993-12-27, RNO,30.5
1993-12-27, SJU,28.0
1993-12-27, BTV,2.5
1993-12-27, ISP,7.5
1993-12-27, LSE,0.5
1993-12-27, PHF,1.0
1993-12-27, MLB,5.0
1993-12-27, GTF,4.0
1993-12-27, BOI,11.5
1993-12-27, RIC,13.5
1993-12-27, MOT,0.5
1993-12-27, CHS,15.5
1994-1-3, KTN,17.0
1994-1-3, ILM,10.5
1994-1-3, VPS,0.0
1994-1-3, FSD,10.5
1994-1-3, TYS,40.5
1994-1-3, PHF,4.0
1994-1-3, PSE,0.5
1994-1-3, MYR,5.5
1994-1-3, DSM,52.5
1994-1-3, HTS,10.5
1994-1-3, EUG,19.5
1994-1-3, DAL,57.5
1994-1-3, BIS,5.5
1994-1-3, HOU,132.5
1994-1-3, TVC,7.0
1994-1-3, OMA,70.0
1994-1-3, BOS,1205.5
1994-1-3, EWR,1328.5
1994-1-3, OKC,71.0
1994-1-3, FAY,5.0
1994-1-3, AVL,2.5
1994-1-3, ORF,192.0
1994-1-3, BTV,24.5
1994-1-3, CHA,12.5
1994-1-3, RDU,286.5
1994-1-3, IND,255.5
1994-1-3, LEX,40.0
1994-1-3, OME,3.5
1994-1-3, DEN,972.0
1994-1-3, ROA,16.5
1994-1-3, IAD,194.5
1994-1-3, CDV,3.0
1994-1-3, GRB,10.5
1994-1-3, RIC,79.5
1994-1-3, STX,8.0
1994-1-3, MOB,26.0
1994-1-3, MRY,6.5
1994-1-3, TLH,31.0
1994-1-3, ICT,34.5
1994-1-3, JNU,24.5
1994-1-3, FAT,13.0
1994-1-3, DTW,1048.0
1994-1-3, PNS,35.5
1994-1-3, LAX,925.0
1994-1-3, ORD,2035.0
1994-1-3, RSW,190.0
1994-1-3, HSV,19.5
1994-1-3, FNT,4.5
1994-1-3, JAN,20.5
1994-1-3, DAY,89.5
1994-1-3, BET,3.5
1994-1-3, TRI,11.5
1994-1-3, STT,18.5
1994-1-3, RST,11.5
1994-1-3, BIL,13.5
1994-1-3, FWA,23.0
1994-1-3, BDL,171.0
1994-1-3, PBI,284.5
1994-1-3, KSM,0.0
1994-1-3, BUR,71.0
1994-1-3, BWI,466.0
1994-1-3, BHM,49.0
1994-1-3, PSC,5.5
1994-1-3, SYR,116.0
1994-1-3, TOL,16.5
1994-1-3, MDW,249.0
1994-1-3, SBN,21.0
1994-1-3, CAE,32.0
1994-1-3, BGM,16.0
1994-1-3, LGB,3.0
1994-1-3, ROC,141.5
1994-1-3, SEA,460.5
1994-1-3, CPR,3.0
1994-1-3, WRG,2.0
1994-1-3, MLI,19.5
1994-1-3, DAB,42.5
1994-1-3, OTZ,1.5
1994-1-3, GTF,10.0
1994-1-3, KOA,3.5
1994-1-3, ANC,118.5
1994-1-3, SJU,155.0
1994-1-3, CLT,975.5
1994-1-3, GFK,5.0
1994-1-3, BQN,4.5
1994-1-3, HNL,68.0
1994-1-3, MCO,615.5
1994-1-3, LBB,5.0
1994-1-3, CRW,13.0
1994-1-3, SJC,116.0
1994-1-3, LAS,591.0
